S.No.,District,Location,Latitude,Longitude,pH,EC,TDS,TH,Ca,Mg,Na,K,"CO
3","HCO
3",Cl,"SO
4","NO
3",F,U,SAR,RSC
197,Beed,Waghluj,18.958,74.976,8,869,556,290,30,52,58,1.2,0,342,74,53,16,1.05,0,1.48,-0.2
198,Beed,Sheri Bk,18.879,75.085,7.65,2667,1707,780,158,94,164,4.4,0,366,340,191,81,0.8,2.93,2.55,-9.6
199,Beed,Georai-1,19.275,75.739,7.74,1885,1206,530,90,74,156,3.7,0,342,245,249,77,1.22,1.98,2.95,-5
200,Beed,Tintarvani-1,19.175,75.508,7.59,3238,2072,505,52,91,191,209,0,421,454,229,71,0.83,3.85,3.7,-3.2
201,Beed,Anandgaon,19.041,75.471,7.86,783,501,285,36,47,41,1.6,0,317,32,59,42,0.79,0,1.05,-0.5
202,Beed,Dongar Kini-1,18.929,75.443,7.74,695,444,265,30,46,35,1,0,305,39,38,12,0.69,0,0.92,-0.3
203,Beed,Dindrur-1,18.989,76.266,8.13,1556,996,250,18,50,185,2.7,0,549,96,57,80,1.52,0.67,5.1,4
204,Beed,Ghosapuri,19.051,75.752,7.74,920,589,325,42,53,40,1,0,262,85,58,45,0.95,0,0.96,-2.2
205,Beed,Nagjhera,19.33,75.719,7.63,1691,1082,470,44,87,104,4.4,0,342,188,160,66,0.98,1.25,2.1,-3.8
206,Beed,Kapildhar,18.845,75.743,7.85,1311,839,365,50,58,62,2.3,0,311,131,72,42,0.73,0.72,1.41,-2.2
207,Beed,Naygaon,18.913,75.612,7.82,1281,820,400,28,80,58,1,0,348,124,72,45,0.73,0.19,1.27,-2.3
208,Beed,Lokhandi Sawargaon-1,18.688,76.309,7.71,695,444,235,38,34,32,0.5,0,226,50,40,45,0.69,0,0.91,-1
209,Beed,Pinpalnar,19.044,75.953,7.74,1094,700,345,48,55,38,1,0,250,85,76,71,0.79,0,0.88,-2.8
210,Beed,Kalegaon,18.703,75.948,7.85,718,459,255,36,40,28,0.8,0,232,57,36,39,0.82,0,0.77,-1.3
211,Beed,Shirsadevi,19.203,75.863,8.2,1006,644,125,16,21,166,2.7,0,500,25,29,61,1.57,2.05,6.44,5.7
212,Beed,Chausala,18.712,75.693,7.73,779,498,285,24,55,37,1.3,0,250,67,39,60,0.78,0,0.95,-1.6
213,Beed,Kasari,18.822,75.124,7.98,920,589,295,30,53,59,0.9,0,323,71,70,22,1.12,0,1.5,-0.6
214,Beed,Kumbhawadi,19.143,75.731,7.84,874,559,280,28,51,52,7.1,0,330,46,46,64,1.35,0,1.36,-0.2
215,Beed,Aher Wadgaon,18.945,75.754,7.86,903,578,325,26,63,39,10.7,0,366,53,46,38,0.91,0,0.95,-0.5
216,Beed,Dhondrai-1,19.298,75.692,7.84,851,545,305,58,39,28,0.9,0,226,85,59,31,0.75,0,0.7,-2.4
217,Beed,Uttareshwar Pimpri,,,7.74,1026,657,365,44,62,37,0.6,0,275,117,33,61,1.11,0.43,0.84,-2.8
218,Beed,Chumbli,18.878,75.466,8.13,519,332,95,30,5,69,3.2,0,256,18,20,9,0.86,0,3.1,2.3
219,Beed,Khadkhat,18.667,75.15,7.87,3104,1987,675,138,80,174,25.2,0,305,521,62,69,0.97,2.65,2.91,-8.5
220,Beed,Ashti,18.8,75.167,8.17,713,456,120,32,10,94,0.8,0,189,85,41,38,1.58,0,3.73,0.7
221,Beed,Dhanora-1,18.917,75.017,7.99,797,510,370,46,62,37,2.8,0,287,124,55,22,1.04,0.22,0.83,-2.7
222,Beed,Sautada,18.8,75.364,7.92,710,454,195,70,5,97,2.8,0,305,57,28,26,0.8,0.01,3.03,1.1
223,Bhandara,Sakoli,21.083,79.983,7.41,687,439,295,54,39,17,1.6,0,323,50,7,3,1.05,7.1,0.44,-0.6
224,Bhandara,Tumsar Khapa,21.367,79.717,7.2,1465,938,425,80,55,127,5.9,0,336,230,95,42,1.1,3.35,2.68,-3
225,Bhandara,Jamb,21.383,79.583,7.25,1305,835,425,86,51,90,3.6,0,330,163,82,66,0.6,11.49,1.9,-3.1
226,Bhandara,Palari,21.133,79.708,7.12,1383,885,490,128,41,89,0.7,0,220,255,94,88,0.61,4.36,1.75,-6.2
227,Bhandara,Daodipar Khapa,21.1,79.683,7.56,1109,710,395,84,45,65,3.9,0,195,184,68,79,1.06,0.95,1.43,-4.7
228,Bhandara,Ekodi,21.133,79.933,7.69,170,109,70,20,5,5,2.8,0,73,11,7,4,0.66,0,0.27,-0.2
229,Bhandara,Sihora,21.458,79.84,7.51,1001,641,360,38,64,53,6.6,0,244,138,67,42,0.61,1.77,1.21,-3.2
230,Bhandara,Chicholi,21.471,79.717,7.67,638,408,195,34,27,48,17.3,0,232,50,52,15,0.71,2.34,1.5,-0.1
231,Bhandara,Madgi,20.95,79.8,7.6,627,401,265,40,40,22,1.7,0,183,64,32,40,0.96,1.92,0.58,-2.3
232,Bhandara,Usarra,21.397,79.672,7.29,1534,982,390,76,49,105,91.6,0,305,213,138,89,0.95,25.06,2.32,-2.8
233,Bhandara,Bhandara,21.158,79.654,7.76,650,416,245,30,41,38,3.1,0,293,35,35,7,0.89,13.09,1.07,-0.1
234,Bhandara,Pauni,20.775,79.626,7.79,570,365,155,20,26,61,1.7,0,207,46,47,7,0.78,4.63,2.14,0.3
235,Bhandara,Lakhandur,20.746,79.885,7.67,182,116,75,20,6,6,2.9,0,92,7,0,5,0.73,12.51,0.29,0
236,Bhandara,Varti,21.233,79.647,7.76,418,267,140,14,26,29,3.2,0,183,21,18,10,0.92,4.52,1.05,0.2
237,Bhandara,Sakra,21.009,79.976,7.57,548,351,175,30,24,24,34.2,0,92,103,50,2,0.63,0.21,0.8,-2
238,Bhandara,Dahegaon2,21.283,79.683,7.48,560,359,135,16,23,52,15.3,0,171,57,50,4,0.66,1.18,1.96,0.1
239,Bhandara,Ambadi,21.118,79.675,7.66,844,540,325,60,43,37,19.1,0,122,170,51,22,0.68,3.65,0.88,-4.5
240,Bhandara,Shrinagar,21.04,79.676,7.71,1708,1093,615,20,137,86,11.3,0,287,379,72,11,1.05,3.51,1.51,-7.6
241,Bhandara,Kawalewada,20.921,79.851,7.52,490,313,185,38,22,24,9.1,0,140,67,19,31,0.69,3.49,0.76,-1.4
242,Bhandara,Pagora,21.001,79.686,7.32,911,583,200,22,35,116,2.4,0,378,64,32,13,1.87,6,3.55,2.2
243,Bhandara,Masal,20.836,79.773,7.56,465,298,145,26,19,37,9.8,0,146,57,13,30,0.95,32.31,1.34,-0.5
244,Bhandara,Murmadi,20.971,79.9,7.92,706,452,150,26,21,92,11.6,0,153,138,23,10,1.31,31.42,3.28,-0.5
245,Bhandara,Landejhari,21.48,79.573,7.96,755,483,145,8,30,101,7.5,0,214,103,36,22,0.94,10.36,3.65,0.6
246,Bhandara,Paunarkhairi,21.535,79.705,7.55,657,420,140,6,30,76,10,0,275,43,20,30,1.34,3.57,2.81,1.7
247,Bhandara,Khair Langi,21.409,79.784,7.92,2282,1460,395,8,91,339,5.9,0,488,489,63,5,1.66,3.11,7.41,0.1
248,Bhandara,Gobarwahi,21.524,79.726,7.72,554,354,140,14,26,65,2,0,159,67,36,3,1.82,3.6,2.39,-0.2
249,Bhandara,Dhargaon-1,21.1,79.735,7.78,875,560,310,24,61,58,5.5,0,220,131,47,15,2.06,7.49,1.43,-2.6
250,Bhandara,Mundipar Sadak,21.061,79.909,7.52,743,476,270,50,35,34,12.3,0,293,64,30,8,1.6,69.1,0.91,-0.6
251,Buldana,Mehkar,20.15,76.567,7.53,2072,1326,795,230,53,96,6.2,0,476,277,164,90,0.49,2.94,1.48,-8.1
252,Buldana,Deolgaon Raja,20.017,76.033,7.57,1642,1051,625,122,78,75,0.7,0,452,177,150,87,0.49,1.29,1.3,-5.1
253,Buldana,Sindkhed Raja,19.95,76.05,7.79,727,465,270,58,30,27,10.5,0,287,67,29,8,0.28,0.54,0.7,-0.7
254,Buldana,Kelwad,20.442,76.229,7.68,1498,959,460,50,81,66,36.9,0,500,149,64,36,0.38,1.33,1.34,-1
255,Buldana,Sultanpur,20.084,76.535,7.55,1658,1061,485,80,69,105,5.4,0,427,238,70,34,0.42,2.08,2.08,-2.7
256,Buldana,Lonar1,19.983,76.55,7.66,2015,1290,680,120,92,98,29.8,0,598,266,76,39,0.15,2.38,1.63,-3.8
257,Buldana,Godhnapur,20.676,76.524,7.75,1013,648,400,58,62,46,1.3,0,439,50,57,46,0.43,1.22,1.01,-0.8
258,Buldana,Nandri,20.618,76.429,7.81,1122,718,425,78,56,49,0.5,0,458,74,33,43,0.69,1.01,1.02,-1
259,Buldana,Ambe Takli,20.518,76.673,7.74,1121,717,425,62,66,57,0.4,0,464,74,59,43,0.6,0.89,1.2,-0.9
260,Buldana,Rohna,20.643,76.673,7.69,1164,745,455,80,62,36,0.4,0,378,96,40,86,0.7,1.05,0.73,-2.9
261,Buldana,Loni,20.294,76.405,7.76,826,529,300,58,38,35,9.8,0,153,113,74,46,0.41,1.23,0.87,-3.5
262,Buldana,Shegaon,20.8,76.7,7.58,2208,1413,850,122,132,73,1.4,0,604,284,170,12,0.79,2.92,1.1,-7.1
263,Buldana,Motala,20.683,76.2,7.69,1457,932,470,80,66,89,2.6,0,537,142,48,45,0.58,1.25,1.78,-0.6
264,Buldana,Garadgaon,20.667,76.55,7.78,889,569,340,44,56,36,0.4,0,366,50,38,45,0.63,0.6,0.84,-0.8
265,Buldana,Amdapur,20.417,76.45,7.32,1247,798,440,70,64,42,8.8,0,366,110,58,88,0.34,1.23,0.88,-2.8
266,Buldana,Pimpalgaon Raja,20.724,76.438,7.88,901,577,275,50,36,70,1.3,0,391,60,26,27,0.64,0.38,1.84,0.9
267,Buldana,Warwand,20.347,76.633,7.61,1286,823,460,80,63,57,4.1,0,360,160,46,90,0.43,3.3,1.16,-3.3
268,Buldana,Rohinkhed,20.629,76.118,7.72,2028,1298,550,100,73,174,39.6,0,720,301,17,10,0.37,0.95,3.23,0.8
269,Buldana,Jalamb,20.83,76.583,7.66,1950,1248,770,122,113,57,0.8,0,348,287,170,86,0.41,3.85,0.9,-9.7
270,Buldana,Datala-1,20.816,76.203,7.82,684,438,195,38,24,57,3.2,0,207,78,45,20,0.31,0.07,1.77,-0.5
271,Buldana,Sungaon-1,21.084,76.557,7.78,1366,874,610,104,85,32,12,0,403,174,59,67,0.3,1.27,0.57,-5.6
272,Buldana,Undri,20.457,76.464,7.81,779,499,290,62,33,48,0.6,0,244,78,35,71,0.69,0.59,1.23,-1.8
273,Buldana,Janephal,20.502,76.961,7.87,1360,870,385,64,55,77,58.1,0,470,106,69,54,0.28,0.45,1.72,0
274,Buldhana,Padali,20.517,76.05,7.8,932,597,365,60,52,38,3.4,0,317,82,67,42,0.57,0.83,0.86,-2.1
275,Buldhana,Dhad,20.4,76,7.48,1709,1094,590,100,83,94,0.8,0,531,195,83,85,0.69,4.31,1.69,-3.1
276,Buldhana,Deolgaon Mahi,20.092,76.181,7.51,1080,691,440,82,57,30,2.3,0,275,110,140,18,0.42,1.05,0.63,-4.3
277,Buldhana,Malkapur Pangra,20.072,76.334,7.72,738,473,280,60,32,21,0.7,0,232,57,45,41,0.38,0.31,0.56,-1.8
278,Buldhana,Khamgaon,20.7,76.575,7.69,1317,843,445,80,60,70,1,0,470,117,57,46,0.35,1.14,1.44,-1.2
279,Buldhana,Lokhanda,20.55,76.55,7.61,1147,734,410,62,62,69,1.5,0,500,67,65,33,0.69,0.7,1.48,0
280,Buldhana,Dhamangaon,20.667,76.033,7.7,2066,1322,650,102,96,130,48.3,0,720,234,70,84,0.35,1.81,2.21,-1.2
281,Buldhana,Tarvadi,20.733,76.35,7.5,1353,866,515,70,83,48,2.2,0,366,156,74,72,0.42,1,0.92,-4.3
282,Buldhana,Pimpalgaon Devi,20.767,76.028,7.52,793,508,290,48,41,37,0.6,0,305,82,28,13,0.56,0.24,0.94,-0.8
283,Buldhana,Kingaon Raja,19.986,76.244,7.76,3158,2021,690,90,113,215,300.6,0,580,415,411,87,0.54,3.13,3.56,-4.3
284,Buldhana,Kolori,20.668,76.681,7.87,1363,872,450,66,69,67,46.7,0,488,99,163,13,0.27,1.06,1.38,-1
285,Buldhana,Jalgaonjamodnew,21.05,76.535,7.65,1671,1069,565,72,94,99,0.6,0,531,188,76,72,0.39,1.11,1.82,-2.6
286,Buldhana,Dighi,20.863,76.337,7.79,2336,1495,750,102,120,152,3.8,0,567,266,168,78,0.43,1.92,2.41,-5.7
287,Buldhana,Waghul,20.872,76.267,7.74,1204,771,320,68,36,103,5.2,0,287,191,67,12,0.44,0.48,2.51,-1.7
288,Buldhana,Atali,20.558,76.646,7.94,790,506,290,54,38,33,6.2,0,311,57,43,15,0.67,0.27,0.85,-0.7
289,Buldhana,Paturda-1,20.949,76.732,7.8,1408,901,450,62,72,81,4.3,0,458,128,57,84,0.44,1.25,1.66,-1.5
290,Buldhana,Warwat Bakhal-1,21.024,76.711,7.87,1481,948,530,82,79,64,1.1,0,488,131,47,62,0.29,1.29,1.21,-2.6
291,Buldhana,Khandvi,20.973,76.475,8,1007,644,205,32,30,128,0.6,0,500,46,20,22,1.28,1.24,3.89,4.1
292,Buldhana,Tunki New,21.107,76.691,7.73,1042,667,390,62,57,33,0.4,0,348,78,40,67,0.29,0.42,0.72,-2.1
293,Buldhana,Bhankheda,20.301,76.242,7.9,742,475,280,50,38,27,1.1,0,293,28,19,80,0.41,0.39,0.69,-0.8
294,Chandrapur,Nagbhir,20.583,79.667,7.29,708,453,275,70,24,33,2.4,0,275,67,24,10,1.03,7.53,0.86,-1
295,Chandrapur,Vyahad Khurd,20.117,79.883,7.5,599,383,225,56,21,28,10,0,287,32,12,6,1.16,0.86,0.81,0.2
296,Chandrapur,Chimur,20.492,79.392,7.47,924,591,260,62,26,78,2.3,0,366,67,50,2,0.86,2.17,2.1,0.8
297,Chandrapur,Brahmapuri,20.617,79.867,7.49,780,499,245,50,29,66,0.5,0,244,85,42,23,0.97,4.61,1.82,-0.9
298,Chandrapur,Mul,20.067,79.683,7.39,1246,797,465,40,89,67,1.3,0,348,174,69,42,0.79,8.82,1.35,-3.6
299,Chandrapur,Kawadsi,20.583,79.492,7.78,1219,780,355,60,50,116,1.5,0,543,92,23,2,1.89,4.02,2.67,1.8
300,Chandrapur,Wirur,19.65,79.433,7.72,1225,784,500,70,79,51,4.8,0,427,142,45,26,1.09,5.82,1,-3
301,Chandrapur,Aksapur,19.758,79.633,7.25,4639,2969,1170,122,210,489,25.4,0,397,1251,205,5,0.8,17.61,6.22,-16.9
302,Chandrapur,Sondo,19.667,79.333,8.08,1964,1257,375,64,52,269,7.7,0,641,227,68,69,1.6,9.36,6.03,3
303,Chandrapur,Tadali,20.033,79.2,7.75,758,485,330,26,64,33,8.8,0,378,32,41,11,1.33,2.88,0.78,-0.4
304,Chandrapur,Chichpalli,20,79.486,7.74,2593,1660,640,56,122,294,10.1,0,1300,177,10,7,2.93,3.38,5.05,8.5
305,Chandrapur,Mahurli,20.183,79.333,7.59,939,601,170,50,11,65,113.5,0,262,99,63,57,1.22,1.57,2.16,0.9
306,Chandrapur,Nandegur,20.05,79.517,7.73,730,467,285,40,45,18,28.6,0,305,43,27,31,1.4,5.12,0.46,-0.7
307,Chandrapur,Dabha,19.625,79.621,7.89,1458,933,310,76,29,95,162.3,0,470,145,81,81,0.8,4.66,2.35,1.5
308,Chandrapur,Rampur,20.408,79,7.46,1280,819,430,74,60,87,7.3,0,409,138,43,80,0.78,3.03,1.83,-1.9
309,Chandrapur,Salori,20.308,79.083,7.85,832,532,210,18,40,95,3.2,0,372,50,37,3,1.24,5.59,2.86,1.9
310,Chandrapur,Mendki,20.467,79.833,7.54,2253,1442,905,166,119,102,2.7,0,488,422,85,59,0.94,4.1,1.48,-10.1
311,Chandrapur,Rajoli Tukkum,20.192,79.692,7.57,2292,1467,705,106,107,194,9.3,0,354,528,93,44,1.01,4.5,3.17,-8.3
312,Chandrapur,Bhimni,19.817,79.717,7.65,1153,738,390,38,72,86,1,0,384,113,52,53,1.88,1.36,1.9,-1.5
313,Chandrapur,Sawali,20.083,79.783,7.95,1248,799,340,36,61,120,2.8,0,531,99,36,8,1.78,5.15,2.82,1.9
314,Chandrapur,Shegaon Khurd,20.294,79.18,7.73,1257,804,380,64,53,63,91.9,0,262,195,77,69,1.22,5.48,1.4,-3.3
315,Chandrapur,Wahangaon,20.484,79.234,7.96,1672,1070,375,24,77,209,4.2,0,500,128,197,39,1.99,16.1,4.69,0.7
316,Chandrapur,Chora,20.199,79.234,7.8,2582,1652,325,72,35,417,11.6,0,574,365,257,40,2.08,7.79,10.07,2.9
317,Chandrapur,Niphandra,20.208,79.925,7.7,327,209,140,24,19,8,2.7,0,140,18,18,3,0.83,0.8,0.28,-0.5
318,Chandrapur,Jambhulghat,20.542,79.458,7.83,1496,957,540,136,49,93,2.3,0,598,156,25,42,0.8,3.45,1.73,-1
319,Chandrapur,Shankarpur,20.646,79.533,7.35,737,472,295,64,33,31,5,0,214,92,29,31,1.28,5.53,0.78,-2.4
320,Chandrapur,Mohadi Mokasa,20.646,79.65,7.34,1413,904,435,102,44,99,34.5,0,281,255,51,68,1.34,4.64,2.06,-4.1
321,Chandrapur,Alesur,20.373,79.564,7.8,1400,896,475,90,61,102,4.4,0,470,195,39,19,0.75,4.78,2.04,-1.8
322,Chandrapur,Sakhri,19.999,79.889,7.9,815,521,180,42,18,99,1.4,0,384,46,17,10,2.78,4.81,3.21,2.7
323,Chandrapur,Navegaon-1,19.712,79.735,7.99,937,600,240,18,47,103,0.7,0,421,32,47,40,2.66,3.65,2.9,2.1
324,Chandrapur,Rajura-1,19.786,79.371,7.82,1619,1036,630,54,120,72,7.1,0,629,181,22,15,2.79,4.18,1.25,-2.3
325,Chandrapur,Gadchandur-1,19.736,79.17,7.52,878,562,345,64,45,36,2.7,0,195,138,52,24,1.01,3.5,0.85,-3.7
326,Chandrapur,Warur Road-1,19.698,79.341,7.81,1282,820,405,20,86,103,4,0,580,82,35,25,1.89,7.68,2.24,1.4
327,Chandrapur,Wansadi-1,19.748,79.052,7.71,851,545,250,36,39,75,10.7,0,409,28,24,18,2.38,2.48,2.05,1.7
328,Chandrapur,Gondpimpri,19.723,79.693,7.6,389,249,170,12,34,8,1.9,0,207,7,12,5,0.94,0.46,0.27,0
329,Chandrapur,Agarjhari,20.101,79.328,7.69,612,392,205,52,18,12,42.1,0,275,32,20,8,0.62,0.29,0.36,0.4
330,Chandrapur,Padmapur-1,20.035,79.31,7.45,467,299,190,38,23,17,6,0,116,53,35,39,0.46,0.09,0.55,-1.9
331,Chandrapur,Pombhurna,19.872,79.632,7.44,476,305,200,48,19,11,11.2,0,226,18,13,7,0.68,1.26,0.35,-0.3
332,Chandrapur,Chandanvahi,19.743,79.249,7.72,732,468,275,48,38,36,37.8,0,330,50,37,45,0.65,2.33,0.95,-0.1
333,Chandrapur,Awarpur,19.775,79.136,7.65,349,224,140,28,17,14,1.8,0,165,14,10,4,0.7,0.28,0.51,-0.1
334,Chandrapur,Jivati,19.609,79.052,7.48,903,578,310,72,32,60,4.1,0,275,96,37,69,0.69,0.81,1.49,-1.7
335,Chandrapur,Meha Bk,20.221,79.885,7.67,1298,831,440,64,68,56,43.5,0,305,245,41,5,0.7,3.62,1.17,-3.8
336,Chandrapur,Tambegadi Mendha,20.211,79.791,7.43,1797,1150,715,54,141,81,2.8,0,348,351,55,71,0.82,28.75,1.32,-8.6
337,Chandrapur,Ralegaon-1,20.409,79.196,7.99,2001,1281,220,30,35,366,2.4,0,586,245,94,78,2.38,17.74,10.72,5.2
338,Chandrapur,Wandhali-1,20.297,78.886,8,1748,1119,210,12,44,300,2.6,0,519,121,279,12,1.44,14.56,9,4.3
339,Chandrapur,Anandwan,20.259,79.235,7.74,1098,703,350,28,68,94,3.3,0,445,99,40,6,4.68,2.17,2.19,0.3
340,Chandrapur,Ladbori,20.313,79.631,7.82,2140,1370,390,8,90,311,3.5,0,683,294,45,80,0.81,29.28,6.84,3.4
341,Chandrapur,Maregaon,20.27,79.735,7.41,726,465,260,30,45,26,27.1,0,159,96,29,76,1.22,2.31,0.71,-2.6
342,Dhule,Pimpalner,20.95,74.117,7.54,570,365,270,66,26,20,0.8,0,287,32,17,43,0.64,0,0.54,-0.7
343,Dhule,Avdhan,20.85,74.783,7.5,2418,1548,720,164,75,172,47.8,0,342,468,250,35,0.53,0.67,2.79,-8.8
344,Dhule,Nardana,21.217,74.817,7.75,2999,1919,968,188,121,207,33.2,0,812,560,74,29,0.62,0.99,2.89,-6.06
345,Dhule,Hisala,21.267,75.101,8.11,822,526,345,40,60,62,2.8,0,421,67,24,54,0.66,0,1.44,0
346,Dhule,Mukti,20.883,74.95,7.8,2506,1604,550,84,83,300,6.3,0,714,358,121,75,1.02,0.33,5.57,0.7
347,Dhule,Chimthane,21.183,74.683,8.02,2275,1456,725,160,79,153,15.1,0,555,358,142,65,0.61,1.26,2.48,-5.4
348,Dhule,Ichhapur,20.972,74.444,8.27,913,584,275,56,33,77,0.9,0,366,64,37,61,0.99,0,2.03,0.5
349,Dhule,Methi,21.246,74.638,7.76,2059,1318,655,116,89,182,1.6,0,397,333,160,80,0.51,0.69,3.1,-6.6
350,Dhule,Ajnale,20.825,74.6,8.17,1576,1009,460,72,68,112,7.1,0,378,213,135,13,0.6,0.56,2.27,-3
351,Dhule,Narwhal,20.825,74.817,8.34,582,372,235,42,32,33,1.3,36,244,32,12,10,0.77,0,0.95,0.5
352,Dhule,Palasner,21.525,75.047,8.05,2079,1331,665,90,107,147,38.7,0,732,252,68,10,0.67,0.3,2.48,-1.3
353,Dhule,Burdi Pada,20.95,73.967,8.49,357,228,135,38,10,15,0.6,36,85,21,6,20,0.43,0,0.58,-0.1
354,Dhule,Purmepada(pur),20.728,74.7,8.21,2126,1361,420,72,58,271,11.4,0,696,202,148,70,0.76,1.09,5.75,3
355,Dhule,Dhule,20.904,74.767,8.45,1852,1185,170,30,23,327,6,54,415,234,64,71,1.16,0.78,10.9,5.2
356,Dhule,Laling,20.821,74.746,8.03,495,317,200,56,15,20,1.9,0,238,32,14,14,0.43,0,0.61,-0.1
357,Dhule,Sakri2,20.983,74.317,8,1895,1213,475,64,77,190,2.2,0,586,223,80,74,1.15,0.8,3.78,0.1
358,Dhule,Dondaicha-1,21.324,74.573,8.22,2012,1288,340,50,52,301,1.9,0,592,266,75,70,0.84,0.78,7.1,2.9
359,Dhule,Ner-1,20.936,74.515,8.02,2643,1692,745,80,132,228,1.1,0,525,450,158,63,0.75,1.26,3.64,-6.3
360,Dhule,Hadakhed,21.424,74.981,7.46,1107,708,355,92,30,94,0.5,0,372,124,65,57,0.61,0,2.17,-1
361,Dhule,Shewade,21.151,74.593,7.9,1177,753,345,56,50,99,2.9,0,354,135,57,65,0.7,0,2.32,-1.1
362,Dhule,Dusane,21.134,74.422,7.94,654,418,205,40,26,51,2.3,0,244,60,34,25,0.74,0,1.55,-0.1
363,Dhule,Nizampur,21.1,74.33,7.94,606,388,220,56,19,38,0.5,0,275,32,28,29,0.93,0,1.11,0.1
364,Dhule,Borkund,20.718,74.831,7.88,1864,1193,550,78,86,138,2.5,0,604,195,88,69,1.05,0.48,2.56,-1.1
365,Dhule,Phagne,20.89,74.838,7.52,2793,1788,915,52,191,178,3.5,0,427,638,87,69,0.65,1.81,2.56,-11.3
366,Dhule,Saver,21.296,75.017,7.95,925,592,335,58,46,47,1,0,268,113,44,45,0.75,0,1.11,-2.3
367,Dhule,Kusumba,20.908,74.598,8.07,1793,1148,250,40,36,316,3,0,732,163,60,57,1.41,1.24,8.69,7
368,Dhule,Samaryapada,21.461,74.9,7.72,915,585,345,58,49,49,0.8,0,305,89,51,62,1.05,0,1.14,-1.9
369,Dhule,Dhamnar,20.924,74.377,7.75,1378,882,425,66,63,99,0.6,0,391,156,63,65,0.75,0.07,2.08,-2.1
370,Dhule,Dhavda,21.338,74.493,7.79,3570,2285,1030,124,175,351,2.5,0,513,592,453,84,0.97,2.84,4.75,-12.2
371,Dhule,Malpur_Kasare,20.949,74.266,8.09,926,592,250,40,36,120,1.6,0,378,82,35,27,0.78,0,3.31,1.2
372,Dhule,Sarvad,21.04,74.781,7.69,2152,1377,635,88,101,193,3.2,0,433,355,161,80,0.62,1.23,3.34,-5.6
373,Gadchiroli,Chaudampalli,19.6,79.85,7.84,2343,1500,650,68,117,230,3.3,0,391,277,250,133,1.77,5.03,3.93,-6.6
374,Gadchiroli,Bamni,18.95,79.983,7.42,1442,923,495,146,32,78,18.6,0,293,184,131,96,1.02,3.59,1.53,-5.1
375,Gadchiroli,Repanpalli,19.167,80.15,7.65,1061,679,395,46,68,64,3.1,0,506,39,35,40,1.49,3.48,1.41,0.4
376,Gadchiroli,Bori,19.5,79.95,7.55,1680,1075,625,160,55,95,6,0,409,202,96,123,0.62,8.11,1.65,-5.8
377,Gadchiroli,Chamorshi,19.933,79.883,7.56,678,434,290,46,43,18,1.1,0,189,67,50,27,1.29,1.09,0.45,-2.7
378,Gadchiroli,Chatgaon,20.208,80.175,7.62,1463,936,340,108,17,99,117.9,0,372,191,57,120,0.98,12.66,2.34,-0.7
379,Gadchiroli,Gadchiroli,20.183,80.008,7.44,682,436,255,86,10,40,2,0,116,121,53,21,0.6,6.66,1.08,-3.2
380,Gadchiroli,Kurkhera,20.617,80.208,7.24,651,417,240,58,23,27,13.1,0,140,110,19,41,0.5,0.72,0.75,-2.5
381,Gadchiroli,Itapalli,19.6,80.233,7.58,756,484,295,56,38,39,0.6,0,250,67,28,64,0.92,0.49,0.98,-1.8
382,Gadchiroli,Umanur,19.05,80.067,7.65,847,542,305,40,50,54,1.8,0,232,78,56,94,0.8,1.66,1.34,-2.3
383,Gadchiroli,Wadsa,20.617,79.967,7.58,883,565,360,70,45,30,3.8,0,305,103,37,18,0.83,2.24,0.68,-2.2
384,Gadchiroli,Porla,20.509,80.643,7.59,739,473,265,66,24,47,2.1,0,262,74,27,21,0.96,2.6,1.25,-1
385,Gadchiroli,Talodhi Rampur,19.983,79.967,7.73,638,408,225,46,27,43,2.9,0,220,78,31,3,0.77,0.44,1.25,-0.9
386,Gadchiroli,Yelgur Tola,19.533,80.067,7.7,874,559,315,66,36,52,3.2,0,415,46,28,9,1.1,1.69,1.27,0.5
387,Gadchiroli,Chandona Tola,20.55,80.267,7.18,911,583,375,60,55,33,1.1,0,214,103,45,80,0.83,1.5,0.75,-4
388,Gadchiroli,Timiram,19.283,80.083,7.43,899,575,325,56,45,57,0.6,0,366,53,34,40,1.2,1.91,1.37,-0.5
389,Gadchiroli,Wairagarh,20.433,80.092,7.5,868,556,365,70,46,29,5.9,0,336,85,29,12,0.84,20.09,0.65,-1.8
390,Gadchiroli,Ashti,19.683,79.792,7.32,1180,755,390,20,83,75,1.9,0,220,177,78,65,0.74,5.5,1.65,-4.2
391,Gadchiroli,Ghot,19.792,79.983,7.28,1236,791,485,28,101,54,2.7,0,134,273,75,49,0.72,10.52,1.07,-7.5
392,Gadchiroli,Dhanora,20.267,80.3,7.35,566,362,210,50,21,34,2.6,0,195,74,14,9,0.53,0.68,1.01,-1
393,Gadchiroli,Nandigaon,19.3,80.033,7.78,1028,658,420,34,81,42,1,0,366,67,65,77,1.04,7.92,0.9,-2.4
394,Gadchiroli,Govindpur,20.065,80.001,7.28,1929,1235,685,100,106,126,3.3,0,384,351,88,81,0.65,10.84,2.09,-7.4
395,Gadchiroli,Rangi,20.347,80.182,7.6,732,469,250,40,36,45,2.3,0,134,92,23,109,0.57,3.63,1.25,-2.8
396,Gadchiroli,Khondala,20.575,79.971,7.68,647,414,200,26,33,53,6.2,0,183,113,12,3,0.53,0.67,1.64,-1
